Position	Const	Created	Modified	Description	Title	URL	Title Type	IMDb Rating	Runtime (mins)	Year	Genres	Num Votes	Release Date	Directors
38	tt0075314	2013-06-10	2013-06-10	"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."	Taxi Driver	https://www.imdb.com/title/tt0075314/	movie	8.2	114	1976	"Crime, Drama"	914536	1976-02-08	Martin Scorsese
39	tt0120815	2013-06-10	2013-06-10	"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."	Saving Private Ryan	https://www.imdb.com/title/tt0120815/	movie	8.6	169	1998	"Drama, War"	1488268	1998-07-21	Steven Spielberg
40	tt0947798	2013-06-10	2013-06-10	"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."	Black Swan	https://www.imdb.com/title/tt0947798/	movie	8.0	108	2010	"Drama, Thriller"	820444	2010-09-01	Darren Aronofsky
41	tt1375666	2013-06-10	2013-06-10	"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."	Inception	https://www.imdb.com/title/tt1375666/	movie	8.8	148	2010	"Action, Adventure, Sci-Fi, Thriller"	2533920	2010-07-08	Christopher Nolan
42	tt0118749	2013-06-10	2013-06-10	"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."	Boogie Nights	https://www.imdb.com/title/tt0118749/	movie	7.9	155	1997	Drama	280977	1997-09-11	Paul Thomas Anderson
43	tt1306980	2013-06-10	2013-06-10	"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."	50/50	https://www.imdb.com/title/tt1306980/	movie	7.6	100	2011	"Comedy, Drama, Romance"	342321	2011-09-12	Jonathan Levine
44	tt0765010	2013-06-10	2013-06-10	"While on tour in Afghanistan, Sam's helicopter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage."	Brothers	https://www.imdb.com/title/tt0765010/	movie	7.1	105	2009	"Drama, Thriller, War"	145164	2009-11-22	Jim Sheridan
45	tt0450259	2013-07-21	2013-07-21	"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."	Blood Diamond	https://www.imdb.com/title/tt0450259/	movie	8.0	143	2006	"Adventure, Drama, Thriller"	583292	2006-12-06	Edward Zwick
46	tt0104257	2013-06-10	2013-06-10	Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.	A Few Good Men	https://www.imdb.com/title/tt0104257/	movie	7.7	138	1992	"Drama, Thriller"	285803	1992-12-02	Rob Reiner
47	tt0172495	2013-06-10	2013-06-10	A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.	Gladiator	https://www.imdb.com/title/tt0172495/	movie	8.5	155	2000	"Action, Adventure, Drama"	1609404	2000-05-01	Ridley Scott
48	tt1197624	2013-06-10	2013-06-10	A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.	Law Abiding Citizen	https://www.imdb.com/title/tt1197624/	movie	7.4	109	2009	"Action, Crime, Drama, Thriller"	317906	2009-09-23	F. Gary Gray
49	tt0947802	2013-06-10	2013-06-10	A troubled and racist African-American L.A.P.D. Officer will stop at nothing to force out a friendly interracial couple who just moved in next door to him.	Lakeview Terrace	https://www.imdb.com/title/tt0947802/	movie	6.2	110	2008	"Crime, Drama, Thriller"	55326	2008-09-15	Neil LaBute
50	tt0385726	2013-06-10	2013-06-10	"In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship."	Glory Road	https://www.imdb.com/title/tt0385726/	movie	7.2	118	2006	"Biography, Drama, Sport"	48655	2006-01-05	James Gartner
