Name	Stars
High and Low	"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
Requiem for a Dream	"Ellen Burstyn, Jared Leto, Jennifer Connelly"
Capernaum	"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole"
Toy Story 3	"Tom Hanks, Tim Allen, Joan Cusack"
Star Wars: Episode VI - Return of the Jedi	"Mark Hamill, Harrison Ford, Carrie Fisher"
Come and See	"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius"
Eternal Sunshine of the Spotless Mind	"Jim Carrey, Kate Winslet, Tom Wilkinson"
2001: A Space Odyssey	"Keir Dullea, Gary Lockwood, William Sylvester"
The Hunt	"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp"
Reservoir Dogs	"Harvey Keitel, Tim Roth, Michael Madsen"
Lawrence of Arabia	"Peter O'Toole, Alec Guinness, Anthony Quinn"
Citizen Kane	"Orson Welles, Joseph Cotten, Dorothy Comingore"
Ikiru	"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori"
M	"Peter Lorre, Ellen Widmann, Inge Landgut"
North by Northwest	"Cary Grant, Eva Marie Saint, James Mason"
The Apartment	"Jack Lemmon, Shirley MacLaine, Fred MacMurray"
Vertigo	"James Stewart, Kim Novak, Barbara Bel Geddes"
Amélie	"Audrey Tautou, Mathieu Kassovitz, Rufus"
Double Indemnity	"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson"
A Clockwork Orange	"Malcolm McDowell, Patrick Magee, Michael Bates"
Full Metal Jacket	"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio"
Scarface	"Al Pacino, Michelle Pfeiffer, Steven Bauer"
Hamilton	"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr."
Incendies	"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette"
Heat	"Al Pacino, Robert De Niro, Val Kilmer"
Up	"Edward Asner, Jordan Nagai, John Ratzenberger"
To Kill a Mockingbird	"Gregory Peck, John Megna, Frank Overton"
The Sting	"Paul Newman, Robert Redford, Robert Shaw"
A Separation	"Payman Maadi, Leila Hatami, Sareh Bayat"
Indiana Jones and the Last Crusade	"Harrison Ford, Sean Connery, Alison Doody"
Metropolis	"Brigitte Helm, Alfred Abel, Gustav Fröhlich"
Die Hard	"Bruce Willis, Alan Rickman, Bonnie Bedelia"
L.A. Confidential	"Kevin Spacey, Russell Crowe, Guy Pearce"
Snatch	"Jason Statham, Brad Pitt, Stephen Graham"
Bicycle Thieves	"Lamberto Maggiorani, Enzo Staiola, Lianella Carell"
Taxi Driver	"Robert De Niro, Jodie Foster, Cybill Shepherd"
Like Stars on Earth	"Darsheel Safary, Aamir Khan, Tanay Chheda"
1917	"Dean-Charles Chapman, George MacKay, Daniel Mays"
Dangal	"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh"
Downfall	"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes"
Top Gun: Maverick	"Tom Cruise, Jennifer Connelly, Miles Teller"
For a Few Dollars More	"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè"
Batman Begins	"Christian Bale, Michael Caine, Ken Watanabe"
The Kid	"Charles Chaplin, Edna Purviance, Jackie Coogan"
Some Like It Hot	"Marilyn Monroe, Tony Curtis, Jack Lemmon"
The Father	"Anthony Hopkins, Olivia Colman, Mark Gatiss"
The Wolf of Wall Street	"Leonardo DiCaprio, Jonah Hill, Margot Robbie"
All About Eve	"Bette Davis, Anne Baxter, George Sanders"
Green Book	"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
Judgment at Nuremberg	"Spencer Tracy, Burt Lancaster, Richard Widmark"
The Truman Show	"Jim Carrey, Ed Harris, Laura Linney"
Ran	"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
Casino	"Robert De Niro, Sharon Stone, Joe Pesci"
There Will Be Blood	"Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
Pan's Labyrinth	"Ivana Baquero, Ariadna Gil, Sergi López"
Shutter Island	"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo"
Unforgiven	"Clint Eastwood, Gene Hackman, Morgan Freeman"
The Sixth Sense	"Bruce Willis, Haley Joel Osment, Toni Collette"
Jurassic Park	"Sam Neill, Laura Dern, Jeff Goldblum"
A Beautiful Mind	"Russell Crowe, Ed Harris, Jennifer Connelly"
The Treasure of the Sierra Madre	"Humphrey Bogart, Walter Huston, Tim Holt"
Yojimbo	"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai"
No Country for Old Men	"Tommy Lee Jones, Javier Bardem, Josh Brolin"
Monty Python and the Holy Grail	"Graham Chapman, John Cleese, Eric Idle"
Kill Bill: Vol. 1	"Uma Thurman, David Carradine, Daryl Hannah"
The Great Escape	"Steve McQueen, James Garner, Richard Attenborough"
The Thing	"Kurt Russell, Wilford Brimley, Keith David"
Rashomon	"Toshirô Mifune, Machiko Kyô, Masayuki Mori"
Finding Nemo	"Albert Brooks, Ellen DeGeneres, Alexander Gould"
Spider-Man: No Way Home	"Tom Holland, Zendaya, Benedict Cumberbatch"
The Elephant Man	"Anthony Hopkins, John Hurt, Anne Bancroft"
Chinatown	"Jack Nicholson, Faye Dunaway, John Huston"
V for Vendetta	"Hugo Weaving, Natalie Portman, Rupert Graves"
Raging Bull	"Robert De Niro, Cathy Moriarty, Joe Pesci"
Gone with the Wind	"Clark Gable, Vivien Leigh, Thomas Mitchell"
Dial M for Murder	"Ray Milland, Grace Kelly, Robert Cummings"
Howl's Moving Castle	"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
"Lock, Stock and Two Smoking Barrels"	"Jason Flemyng, Dexter Fletcher, Nick Moran"
Inside Out	"Amy Poehler, Bill Hader, Lewis Black"
The Secret in Their Eyes	"Ricardo Darín, Soledad Villamil, Pablo Rago"
Prisoners	"Hugh Jackman, Jake Gyllenhaal, Viola Davis"
"Three Billboards Outside Ebbing, Missouri"	"Frances McDormand, Woody Harrelson, Sam Rockwell"
Trainspotting	"Ewan McGregor, Ewen Bremner, Jonny Lee Miller"
The Bridge on the River Kwai	"William Holden, Alec Guinness, Jack Hawkins"
Fargo	"William H. Macy, Frances McDormand, Steve Buscemi"
Warrior	"Tom Hardy, Nick Nolte, Joel Edgerton"
Gran Torino	"Clint Eastwood, Bee Vang, Christopher Carley"
Catch Me If You Can	"Leonardo DiCaprio, Tom Hanks, Christopher Walken"
My Neighbour Totoro	"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto"
Million Dollar Baby	"Hilary Swank, Clint Eastwood, Morgan Freeman"
Children of Heaven	"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi"
Klaus	"Jason Schwartzman, J.K. Simmons, Rashida Jones"
Harry Potter and the Deathly Hallows: Part 2	"Daniel Radcliffe, Emma Watson, Rupert Grint"
Blade Runner	"Harrison Ford, Rutger Hauer, Sean Young"
The Gold Rush	"Charles Chaplin, Mack Swain, Tom Murray"
12 Years a Slave	"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender"
Before Sunrise	"Ethan Hawke, Julie Delpy, Andrea Eckert"
The Grand Budapest Hotel	"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
Ben-Hur	"Charlton Heston, Jack Hawkins, Stephen Boyd"
Gone Girl	"Ben Affleck, Rosamund Pike, Neil Patrick Harris"
On the Waterfront	"Marlon Brando, Karl Malden, Lee J. Cobb"
Barry Lyndon	"Ryan O'Neal, Marisa Berenson, Patrick Magee"
The General	"Buster Keaton, Marion Mack, Glen Cavender"
In the Name of the Father	"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie"
Wild Strawberries	"Victor Sjöström, Bibi Andersson, Ingrid Thulin"
Hacksaw Ridge	"Andrew Garfield, Sam Worthington, Luke Bracey"
The Deer Hunter	"Robert De Niro, Christopher Walken, John Cazale"
The Third Man	"Orson Welles, Joseph Cotten, Alida Valli"
Memories of Murder	"Song Kang-ho, Kim Sang-kyung, Roe-ha Kim"
The Wages of Fear	"Yves Montand, Charles Vanel, Peter van Eyck"
Sherlock Jr.	"Buster Keaton, Kathryn McGuire, Joe Keaton"
Wild Tales	"Darío Grandinetti, María Marull, Mónica Villa"
Mad Max: Fury Road	"Tom Hardy, Charlize Theron, Nicholas Hoult"
Mr. Smith Goes to Washington	"James Stewart, Jean Arthur, Claude Rains"
Dead Poets Society	"Robin Williams, Robert Sean Leonard, Ethan Hawke"
Mary and Max	"Toni Collette, Philip Seymour Hoffman, Eric Bana"
"Monsters, Inc."	"Billy Crystal, John Goodman, Mary Gibbs"
How to Train Your Dragon	"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse"
Jaws	"Roy Scheider, Robert Shaw, Richard Dreyfuss"
The Seventh Seal	"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot"
Room	"Brie Larson, Jacob Tremblay, Sean Bridgers"
Tokyo Story	"Chishû Ryû, Chieko Higashiyama, Sô Yamamura"
The Big Lebowski	"Jeff Bridges, John Goodman, Julianne Moore"
Le Mans '66	"Matt Damon, Christian Bale, Jon Bernthal"
The Passion of Joan of Arc	"Maria Falconetti, Eugene Silvain, André Berley"
Ratatouille	"Brad Garrett, Lou Romano, Patton Oswalt"
Hotel Rwanda	"Don Cheadle, Sophie Okonedo, Joaquin Phoenix"
Rocky	"Sylvester Stallone, Talia Shire, Burt Young"
Platoon	"Charlie Sheen, Tom Berenger, Willem Dafoe"
Logan	"Hugh Jackman, Patrick Stewart, Dafne Keen"
Spotlight	"Mark Ruffalo, Michael Keaton, Rachel McAdams"
